group,subgroup,date,date_end,title,deadline,content,example,assignment,note
Looking at Data,Session 1,2023-01-13,,Up and Running with R,,content/01-content,,,
Looking at Data,Session 2,2023-01-18,,Ways of Seeing,,content/02-content,,,
Looking at Data,Session 2,2023-01-18,,Problem Set 1,6pm,,,assignment/01-problem-set,
Looking at Data,Session 3,2023-01-25,,Make a Graph,,content/03-content,,,
Looking at Data,Session 3,2023-01-25,,Problem Set 2,6pm,,,assignment/02-problem-set,
Looking at Data,Session 4,2023-02-01,,Show the Right Numbers,,content/04-content,,,
Looking at Data,Session 4,2023-02-01,,Problem Set 3,6pm,,,assignment/03-problem-set,
Looking at Data,Session 5,2023-02-08,,Expanding your Vocabulary,,content/05-content,,,
Looking at Data,Session 5,2023-02-08,,Problem Set 4,6pm,,,assignment/04-problem-set,
Looking at Data,Session 6,2023-02-15,,Messy and Missing Data,,content/06-content,,,
Looking at Data,Midterm Project,2023-02-15,,Midterm Project,,,,,
Tools and Applications,Session 7,2023-02-22,,Trends and Time Series,,content/07-content,,,
Tools and Applications,Session 7,2023-02-22,,Problem Set 5,6pm,,,assignment/05-problem-set,
Tools and Applications,Session 8,2023-03-01,,Maps and Spatial Data,,content/08-content,,,
Tools and Applications,Session 8,2023-03-01,,Problem Set 6,6pm,,,assignment/06-problem-set,
Tools and Applications,Session 9,2023-03-08,,Counting People,,content/09-content,,,
Tools and Applications,Session 9,2023-03-08,,Problem Set 7,6pm,,,assignment/07-problem-set,
Tools and Applications,Break,2023-03-15,,Spring Break,,,,,
Tools and Applications,Session 10,2023-03-22,,Visualizing Social Networks,,content/10-content,,,
Tools and Applications,Session 10,2023-03-22,,Problem Set 8,6pm,,,assignment/08-problem-set,
Tools and Applications,Session 11,2023-03-29,,Animation,,content/11-content,,,
Tools and Applications,Session 11,2023-03-29,,Problem Set 9,6pm,,,assignment/09-problem-set,
Design and Refine,Session 12,2023-04-05,,Polishing Plots I,,content/12-content,,,
Design and Refine,Session 12,2023-04-05,,Problem Set 10,6pm,,,assignment/10-problem-set,
Design and Refine,Session 13,2023-04-12,,Polishing Plots II,,content/13-content,,,
Design and Refine,Session 13,2023-04-12,,Problem Set 11,6pm,,,assignment/11-problem-set,
Theory,Session 14,2023-04-19,,Social Theory and Social Data,,content/14-content,,,
Theory,Session 14,2023-04-19,,Problem Set 12,6pm,,,assignment/12-problem-set,
Final,Session 15,2023-04-26,,Catch-Up,,content/15-content,,,
Final,Final Project,2023-04-26,,Final Project,,,,,