year,age,pop,male,female
1921,73,265000,133000,132000
1921,74,253000,126000,127000
1921,75,1481000,706000,775000
1922,0,2413000,1232000,1181000
1922,1,2413000,1228000,1185000
1922,2,2408000,1222000,1186000
1922,3,2403000,1217000,1186000
1922,4,2394000,1210000,1184000
1922,5,2382000,1203000,1179000
1922,6,2366000,1194000,1172000
1922,7,2349000,1184000,1165000
1922,8,2328000,1173000,1155000
1922,9,2303000,1160000,1143000
1922,10,2278000,1147000,1131000
1922,11,2252000,1133000,1119000
1922,12,2220000,1116000,1104000
1922,13,2178000,1094000,1084000
1922,14,2132000,1068000,1064000
1922,15,2086000,1043000,1043000
1922,16,2041000,1018000,1023000
1922,17,2001000,995000,1006000
1922,18,1966000,975000,991000
1922,19,1935000,956000,979000
1922,20,1904000,938000,966000
1922,21,1870000,918000,952000
1922,22,1853000,909000,944000
1922,23,1861000,913000,948000
1922,24,1885000,927000,958000
1922,25,1906000,940000,966000
1922,26,1933000,956000,977000
1922,27,1934000,959000,975000
1922,28,1896000,942000,954000
1922,29,1833000,912000,921000
1922,30,1773000,884000,889000
1922,31,1710000,854000,856000
1922,32,1662000,834000,828000
1922,33,1641000,829000,812000
1922,34,1636000,834000,802000
1922,35,1626000,836000,790000
1922,36,1616000,839000,777000
1922,37,1596000,834000,762000
1922,38,1561000,816000,745000
1922,39,1515000,790000,725000
1922,40,1471000,766000,705000
1922,41,1426000,741000,685000
1922,42,1382000,717000,665000
1922,43,1338000,695000,643000
1922,44,1292000,673000,619000
1922,45,1245000,650000,595000
1922,46,1197000,626000,571000
1922,47,1156000,606000,550000
1922,48,1127000,594000,533000
1922,49,1104000,586000,518000
1922,50,1081000,578000,503000
1922,51,1060000,570000,490000
1922,52,1029000,556000,473000
1922,53,979000,528000,451000
1922,54,921000,494000,427000
1922,55,864000,461000,403000
1922,56,807000,427000,380000
1922,57,759000,399000,360000
1922,58,726000,380000,346000
1922,59,701000,367000,334000
1922,60,676000,353000,323000
1922,61,651000,339000,312000
1922,62,623000,324000,299000
1922,63,591000,307000,284000
1922,64,553000,287000,266000
1922,65,518000,269000,249000
1922,66,485000,252000,233000
1922,67,451000,234000,217000
1922,68,418000,217000,201000
1922,69,383000,198000,185000
1922,70,352000,181000,171000
1922,71,322000,165000,157000
1922,72,292000,148000,144000
1922,73,263000,131000,132000
1922,74,235000,114000,121000
1922,75,1512000,721000,791000
1923,0,2433000,1242000,1191000
1923,1,2430000,1237000,1193000
1923,2,2426000,1232000,1194000
1923,3,2420000,1226000,1194000
1923,4,2410000,1219000,1191000
1923,5,2401000,1213000,1188000
1923,6,2387000,1205000,1182000
1923,7,2372000,1196000,1176000
1923,8,2352000,1185000,1167000
1923,9,2332000,1174000,1158000
1923,10,2309000,1162000,1147000
1923,11,2286000,1150000,1136000
1923,12,2256000,1134000,1122000
1923,13,2218000,1113000,1105000
1923,14,2176000,1090000,1086000
1923,15,2133000,1066000,1067000
1923,16,2093000,1044000,1049000
1923,17,2052000,1021000,1031000
1923,18,2015000,1001000,1014000
1923,19,1981000,982000,999000
1923,20,1947000,964000,983000
1923,21,1910000,944000,966000
1923,22,1888000,932000,956000
1923,23,1885000,931000,954000
1923,24,1894000,935000,959000
1923,25,1901000,940000,961000
1923,26,1910000,945000,965000
1923,27,1908000,946000,962000
1923,28,1886000,937000,949000
1923,29,1853000,922000,931000
1923,30,1821000,908000,913000
1923,31,1788000,894000,894000
1923,32,1755000,881000,874000
1923,33,1721000,869000,852000
1923,34,1688000,859000,829000
1923,35,1654000,848000,806000
1923,36,1615000,834000,781000
1923,37,1582000,822000,760000
1923,38,1552000,809000,743000
1923,39,1526000,796000,730000
1923,40,1499000,782000,717000
1923,41,1473000,769000,704000
1923,42,1439000,751000,688000
1923,43,1391000,726000,665000
1923,44,1335000,696000,639000
1923,45,1281000,667000,614000
1923,46,1224000,636000,588000
1923,47,1176000,612000,564000
1923,48,1142000,597000,545000
1923,49,1118000,589000,529000
1923,50,1092000,580000,512000
1923,51,1066000,571000,495000
1923,52,1034000,557000,477000
1923,53,992000,534000,458000
1923,54,943000,505000,438000
1923,55,896000,478000,418000
1923,56,850000,451000,399000
1923,57,805000,425000,380000
1923,58,765000,402000,363000
1923,59,729000,382000,347000
1923,60,692000,361000,331000
1923,61,655000,340000,315000
1923,62,621000,321000,300000
1923,63,590000,305000,285000
1923,64,562000,291000,271000
1923,65,532000,276000,256000
1923,66,503000,261000,242000
1923,67,473000,246000,227000
1923,68,443000,230000,213000
1923,69,411000,213000,198000
1923,70,377000,195000,182000
1923,71,342000,176000,166000
1923,72,303000,154000,149000
1923,73,263000,131000,132000
1923,74,218000,105000,113000
1923,75,1546000,738000,808000
1924,0,2476000,1262000,1214000
1924,1,2465000,1254000,1211000
1924,2,2454000,1247000,1207000
1924,3,2443000,1239000,1204000
1924,4,2431000,1232000,1199000
1924,5,2419000,1224000,1195000
1924,6,2404000,1215000,1189000
1924,7,2389000,1206000,1183000
1924,8,2373000,1197000,1176000
1924,9,2354000,1186000,1168000
1924,10,2335000,1175000,1160000
1924,11,2315000,1164000,1151000
1924,12,2290000,1150000,1140000
1924,13,2257000,1132000,1125000
1924,14,2222000,1112000,1110000
1924,15,2185000,1091000,1094000
1924,16,2149000,1071000,1078000
1924,17,2113000,1052000,1061000
1924,18,2076000,1032000,1044000
1924,19,2040000,1014000,1026000
1924,20,2005000,996000,1009000
1924,21,1970000,979000,991000
1924,22,1941000,964000,977000
1924,23,1923000,955000,968000
1924,24,1912000,949000,963000
1924,25,1901000,943000,958000
1924,26,1888000,936000,952000
1924,27,1880000,933000,947000
1924,28,1874000,932000,942000
1924,29,1872000,933000,939000
1924,30,1869000,934000,935000
1924,31,1868000,936000,932000
1924,32,1850000,931000,919000
1924,33,1807000,914000,893000
1924,34,1748000,889000,859000
1924,35,1690000,864000,826000
1924,36,1627000,837000,790000
1924,37,1579000,817000,762000
1924,38,1554000,807000,747000
1924,39,1542000,803000,739000
1924,40,1527000,797000,730000
1924,41,1513000,792000,721000
1924,42,1486000,778000,708000
1924,43,1439000,753000,686000
1924,44,1380000,721000,659000
1924,45,1322000,689000,633000
1924,46,1264000,656000,608000
1924,47,1213000,629000,584000
1924,48,1172000,610000,562000
1924,49,1140000,598000,542000
1924,50,1105000,583000,522000
1924,51,1070000,569000,501000
1924,52,1035000,553000,482000
1924,53,997000,533000,464000
1924,54,960000,512000,448000
1924,55,923000,492000,431000
1924,56,887000,472000,415000
1924,57,849000,450000,399000
1924,58,805000,425000,380000
1924,59,757000,398000,359000
1924,60,712000,372000,340000
1924,61,664000,345000,319000
1924,62,623000,322000,301000
1924,63,594000,307000,287000
1924,64,573000,296000,277000
1924,65,547000,283000,264000
1924,66,521000,270000,251000
1924,67,494000,256000,238000
1924,68,466000,242000,224000
1924,69,435000,226000,209000
1924,70,401000,207000,194000
1924,71,362000,186000,176000
1924,72,317000,162000,155000
1924,73,268000,134000,134000
1924,74,211000,102000,109000
1924,75,1587000,758000,829000
1925,0,2460000,1252000,1208000
1925,1,2465000,1254000,1211000
1925,2,2467000,1254000,1213000
1925,3,2465000,1252000,1213000
1925,4,2459000,1248000,1211000
1925,5,2449000,1242000,1207000
1925,6,2436000,1233000,1203000
1925,7,2420000,1224000,1196000
1925,8,2401000,1213000,1188000
1925,9,2381000,1201000,1180000
1925,10,2358000,1188000,1170000
1925,11,2333000,1173000,1160000
1925,12,2307000,1158000,1149000
1925,13,2279000,1141000,1138000
1925,14,2250000,1124000,1126000
1925,15,2222000,1107000,1115000
1925,16,2193000,1090000,1103000
1925,17,2160000,1072000,1088000
1925,18,2124000,1054000,1070000
1925,19,2085000,1034000,1051000
1925,20,2047000,1016000,1031000
1925,21,2012000,1000000,1012000
1925,22,1978000,984000,994000
1925,23,1947000,968000,979000
1925,24,1923000,955000,968000
1925,25,1896000,941000,955000
1925,26,1866000,925000,941000
1925,27,1852000,919000,933000
1925,28,1859000,924000,935000
1925,29,1877000,936000,941000
1925,30,1893000,947000,946000
1925,31,1915000,961000,954000
1925,32,1909000,961000,948000
1925,33,1863000,941000,922000
1925,34,1790000,907000,883000
1925,35,1720000,875000,845000
1925,36,1644000,839000,805000
1925,37,1588000,814000,774000
1925,38,1564000,806000,758000
1925,39,1560000,808000,752000
1925,40,1551000,808000,743000
1925,41,1540000,806000,734000
1925,42,1518000,797000,721000
1925,43,1474000,774000,700000
1925,44,1417000,742000,675000
1925,45,1363000,712000,651000
1925,46,1309000,681000,628000
1925,47,1256000,652000,604000
1925,48,1209000,629000,580000
1925,49,1167000,610000,557000
1925,50,1123000,590000,533000
1925,51,1079000,569000,510000
1925,52,1039000,550000,489000
1925,53,1003000,532000,471000
1925,54,973000,516000,457000
1925,55,944000,501000,443000
1925,56,916000,487000,429000
1925,57,882000,468000,414000
1925,58,837000,443000,394000
1925,59,783000,412000,371000
1925,60,733000,383000,350000
1925,61,681000,354000,327000
1925,62,637000,329000,308000
1925,63,607000,313000,294000
1925,64,585000,302000,283000
1925,65,562000,290000,272000
1925,66,536000,277000,259000
1925,67,509000,263000,246000
1925,68,481000,249000,232000
1925,69,449000,232000,217000
1925,70,415000,214000,201000
1925,71,376000,193000,183000
1925,72,329000,168000,161000
1925,73,279000,140000,139000
1925,74,219000,107000,112000
1925,75,1631000,779000,852000
1926,0,2366000,1202000,1164000
1926,1,2414000,1227000,1187000
1926,2,2451000,1246000,1205000
1926,3,2473000,1257000,1216000
1926,4,2485000,1262000,1223000
1926,5,2486000,1262000,1224000
1926,6,2479000,1257000,1222000
1926,7,2464000,1248000,1216000
1926,8,2444000,1236000,1208000
1926,9,2417000,1220000,1197000
1926,10,2386000,1203000,1183000
1926,11,2350000,1182000,1168000
1926,12,2315000,1162000,1153000
1926,13,2292000,1148000,1144000
1926,14,2273000,1136000,1137000
1926,15,2252000,1123000,1129000
1926,16,2229000,1109000,1120000
1926,17,2202000,1094000,1108000
1926,18,2166000,1075000,1091000
1926,19,2124000,1055000,1069000
1926,20,2085000,1035000,1050000
1926,21,2049000,1018000,1031000
1926,22,2012000,1000000,1012000
1926,23,1976000,982000,994000
1926,24,1942000,964000,978000
1926,25,1911000,948000,963000
1926,26,1873000,929000,944000
1926,27,1854000,920000,934000
1926,28,1862000,926000,936000
1926,29,1887000,941000,946000
1926,30,1909000,955000,954000
1926,31,1935000,971000,964000
1926,32,1934000,973000,961000
1926,33,1888000,952000,936000
1926,34,1814000,917000,897000
1926,35,1743000,883000,860000
1926,36,1667000,846000,821000
1926,37,1611000,821000,790000
1926,38,1588000,814000,774000
1926,39,1586000,819000,767000
1926,40,1578000,820000,758000
1926,41,1570000,822000,748000
1926,42,1548000,814000,734000
1926,43,1506000,792000,714000
1926,44,1450000,760000,690000
1926,45,1396000,730000,666000
1926,46,1343000,700000,643000
1926,47,1289000,670000,619000
1926,48,1242000,646000,596000
1926,49,1196000,624000,572000
1926,50,1149000,601000,548000
1926,51,1100000,577000,523000
1926,52,1056000,555000,501000
1926,53,1021000,538000,483000
1926,54,994000,525000,469000
1926,55,965000,511000,454000
1926,56,940000,499000,441000
1926,57,905000,481000,424000
1926,58,858000,455000,403000
1926,59,805000,424000,381000
1926,60,752000,394000,358000
1926,61,700000,364000,336000
1926,62,655000,338000,317000
1926,63,624000,321000,303000
1926,64,601000,310000,291000
1926,65,576000,297000,279000
1926,66,548000,282000,266000
1926,67,520000,268000,252000
1926,68,491000,253000,238000
1926,69,461000,237000,224000
1926,70,426000,219000,207000
1926,71,388000,199000,189000
1926,72,343000,175000,168000
1926,73,294000,149000,145000
1926,74,236000,118000,118000
1926,75,1677000,802000,875000
1927,0,2305000,1169000,1136000
1927,1,2383000,1210000,1173000
1927,2,2441000,1240000,1201000
1927,3,2480000,1260000,1220000
1927,4,2502000,1271000,1231000
1927,5,2512000,1275000,1237000
1927,6,2509000,1273000,1236000
1927,7,2496000,1265000,1231000
1927,8,2474000,1252000,1222000
1927,9,2445000,1235000,1210000
1927,10,2410000,1215000,1195000
1927,11,2366000,1191000,1175000
1927,12,2330000,1170000,1160000
1927,13,2311000,1158000,1153000
1927,14,2299000,1150000,1149000
1927,15,2283000,1139000,1144000
1927,16,2267000,1129000,1138000
1927,17,2244000,1116000,1128000
1927,18,2210000,1098000,1112000
1927,19,2168000,1077000,1091000
1927,20,2128000,1057000,1071000
1927,21,2090000,1038000,1052000
1927,22,2052000,1019000,1033000
1927,23,2013000,999000,1014000
1927,24,1975000,980000,995000
1927,25,1937000,961000,976000
1927,26,1897000,941000,956000
1927,27,1872000,929000,943000
1927,28,1875000,933000,942000
1927,29,1892000,944000,948000
1927,30,1907000,954000,953000
1927,31,1926000,967000,959000
1927,32,1925000,969000,956000
1927,33,1888000,952000,936000
1927,34,1829000,923000,906000
1927,35,1774000,897000,877000
1927,36,1714000,868000,846000
1927,37,1668000,847000,821000
1927,38,1641000,838000,803000
1927,39,1627000,838000,789000
1927,40,1608000,834000,774000
1927,41,1588000,830000,758000
1927,42,1560000,820000,740000
1927,43,1520000,799000,721000
1927,44,1472000,772000,700000
1927,45,1426000,746000,680000
1927,46,1379000,719000,660000
1927,47,1332000,693000,639000
1927,48,1281000,667000,614000
1927,49,1231000,642000,589000
1927,50,1179000,615000,564000
1927,51,1127000,589000,538000
1927,52,1080000,565000,515000
1927,53,1043000,547000,496000
1927,54,1014000,534000,480000
1927,55,983000,519000,464000
1927,56,955000,506000,449000
1927,57,918000,487000,431000
1927,58,874000,463000,411000
1927,59,824000,434000,390000
1927,60,775000,406000,369000
1927,61,725000,377000,348000
1927,62,681000,352000,329000
1927,63,648000,334000,314000
1927,64,620000,320000,300000
1927,65,590000,304000,286000
1927,66,558000,287000,271000
1927,67,528000,271000,257000
1927,68,497000,255000,242000
1927,69,466000,239000,227000
1927,70,430000,220000,210000
1927,71,395000,202000,193000
1927,72,355000,181000,174000
1927,73,312000,159000,153000
1927,74,267000,135000,132000
1927,75,1729000,827000,902000
1928,0,2251000,1143000,1108000
1928,1,2345000,1191000,1154000
1928,2,2416000,1227000,1189000
1928,3,2466000,1252000,1214000
1928,4,2500000,1269000,1231000
1928,5,2515000,1276000,1239000
1928,6,2518000,1277000,1241000
1928,7,2509000,1271000,1238000
1928,8,2490000,1260000,1230000
1928,9,2464000,1246000,1218000
1928,10,2429000,1226000,1203000
1928,11,2385000,1202000,1183000
1928,12,2351000,1183000,1168000
1928,13,2334000,1172000,1162000
1928,14,2325000,1165000,1160000
1928,15,2313000,1156000,1157000
1928,16,2298000,1146000,1152000
1928,17,2277000,1133000,1144000
1928,18,2245000,1115000,1130000
1928,19,2206000,1095000,1111000
1928,20,2171000,1076000,1095000
1928,21,2134000,1056000,1078000
1928,22,2097000,1038000,1059000
1928,23,2056000,1017000,1039000
1928,24,2014000,997000,1017000
1928,25,1973000,977000,996000
1928,26,1931000,958000,973000
1928,27,1900000,944000,956000
1928,28,1889000,939000,950000
1928,29,1891000,942000,949000
1928,30,1892000,945000,947000
1928,31,1891000,947000,944000
1928,32,1885000,946000,939000
1928,33,1865000,937000,928000
1928,34,1836000,925000,911000
1928,35,1808000,913000,895000
1928,36,1781000,900000,881000
1928,37,1750000,888000,862000
1928,38,1715000,875000,840000
1928,39,1678000,862000,816000
1928,40,1639000,848000,791000
1928,41,1599000,833000,766000
1928,42,1560000,817000,743000
1928,43,1523000,799000,724000
1928,44,1487000,779000,708000
1928,45,1451000,759000,692000
1928,46,1416000,740000,676000
1928,47,1374000,717000,657000
1928,48,1324000,691000,633000
1928,49,1270000,663000,607000
1928,50,1217000,635000,582000
1928,51,1162000,606000,556000
1928,52,1111000,579000,532000
1928,53,1071000,560000,511000
1928,54,1034000,542000,492000
1928,55,997000,525000,472000
1928,56,960000,507000,453000
1928,57,923000,488000,435000
1928,58,882000,466000,416000
1928,59,838000,440000,398000
1928,60,796000,417000,379000
1928,61,753000,392000,361000
1928,62,714000,370000,344000
1928,63,676000,349000,327000
1928,64,639000,330000,309000
1928,65,604000,311000,293000
1928,66,567000,291000,276000
1928,67,533000,273000,260000
1928,68,498000,254000,244000
1928,69,465000,237000,228000
1928,70,432000,220000,212000
1928,71,400000,204000,196000
1928,72,369000,188000,181000
1928,73,337000,172000,165000
1928,74,307000,157000,150000
1928,75,1787000,855000,932000
1929,0,2142000,1090000,1052000
1929,1,2274000,1155000,1119000
1929,2,2374000,1205000,1169000
1929,3,2447000,1241000,1206000
1929,4,2497000,1266000,1231000
1929,5,2526000,1280000,1246000
1929,6,2535000,1284000,1251000
1929,7,2529000,1281000,1248000
1929,8,2512000,1272000,1240000
1929,9,2485000,1257000,1228000
1929,10,2446000,1237000,1209000
1929,11,2398000,1212000,1186000
1929,12,2358000,1190000,1168000
1929,13,2342000,1179000,1163000
1929,14,2339000,1175000,1164000
1929,15,2330000,1167000,1163000
1929,16,2316000,1157000,1159000
1929,17,2298000,1145000,1153000
1929,18,2273000,1129000,1144000
1929,19,2240000,1110000,1130000
1929,20,2209000,1092000,1117000
1929,21,2179000,1074000,1105000
1929,22,2143000,1055000,1088000
1929,23,2103000,1035000,1068000
1929,24,2060000,1015000,1045000
1929,25,2018000,996000,1022000
1929,26,1974000,976000,998000
1929,27,1937000,959000,978000
1929,28,1910000,948000,962000
1929,29,1890000,939000,951000
1929,30,1870000,931000,939000
1929,31,1847000,922000,925000
1929,32,1832000,917000,915000
1929,33,1829000,918000,911000
1929,34,1834000,923000,911000
1929,35,1837000,927000,910000
1929,36,1843000,932000,911000
1929,37,1829000,928000,901000
1929,38,1791000,913000,878000
1929,39,1732000,888000,844000
1929,40,1677000,865000,812000
1929,41,1617000,840000,777000
1929,42,1565000,817000,748000
1929,43,1529000,799000,730000
1929,44,1501000,785000,716000
1929,45,1470000,768000,702000
1929,46,1440000,752000,688000
1929,47,1403000,733000,670000
1929,48,1357000,709000,648000
1929,49,1306000,682000,624000
1929,50,1254000,655000,599000
1929,51,1207000,630000,577000
1929,52,1156000,603000,553000
1929,53,1108000,579000,529000
1929,54,1060000,555000,505000
1929,55,1013000,531000,482000
1929,56,964000,507000,457000
1929,57,919000,483000,436000
1929,58,882000,463000,419000
1929,59,847000,444000,403000
1929,60,811000,424000,387000
1929,61,777000,404000,373000
1929,62,742000,385000,357000
1929,63,701000,362000,339000
1929,64,659000,340000,319000
1929,65,617000,317000,300000
1929,66,578000,296000,282000
1929,67,540000,276000,264000
1929,68,503000,256000,247000
1929,69,470000,239000,231000
1929,70,436000,221000,215000
1929,71,406000,206000,200000
1929,72,380000,193000,187000
1929,73,354000,181000,173000
1929,74,336000,173000,163000
1929,75,1854000,887000,967000
1930,0,2181398,1107325,1074073
1930,1,2164397,1098451,1065946
1930,2,2272951,1167027,1105924
1930,3,2375736,1207259,1168477
1930,4,2377633,1206960,1170673
1930,5,2489604,1266778,1222826
1930,6,2512951,1271358,1241593
1930,7,2482957,1254693,1228264
1930,8,2569834,1296777,1273057
1930,9,2534824,1283924,1250900
1930,10,2472639,1251688,1220951
1930,11,2430418,1230003,1200415
1930,12,2396985,1212837,1184148
1930,13,2375924,1200025,1175899
1930,14,2364654,1190619,1174035
1930,15,2351648,1180257,1171391
1930,16,2335712,1168684,1167028
1930,17,2317496,1155843,1161653
1930,18,2295997,1141113,1154884
1930,19,2271276,1124740,1146536
1930,20,2245650,1108062,1137588
1930,21,2220398,1091597,1128801
1930,22,2190420,1074105,1116315
1930,23,2151904,1054756,1097148
1930,24,2106848,1034155,1072693
1930,25,2061558,1013967,1047591
1930,26,2017439,994712,1022727
1930,27,1975370,976460,998910
1930,28,1936950,959486,977464
1930,29,1902713,944177,958536
1930,30,1869017,929367,939650
1930,31,1832401,913361,919040
1930,32,1808190,903784,904406
1930,33,1808434,906720,901714
1930,34,1826764,918922,907842
1930,35,1846872,932017,914855
1930,36,1869177,946117,923060
1930,37,1874189,951608,922581
1930,38,1843703,939470,904233
1930,39,1784523,913002,871521
1930,40,1721420,884443,836977
1930,41,1656726,855009,801717
1930,42,1597764,827823,769941
1930,43,1553910,807116,746794
1930,44,1522279,791612,730667
1930,45,1489630,775292,714338
1930,46,1454197,757319,696878
1930,47,1417238,738562,678676
1930,48,1378010,718920,659090
1930,49,1336549,698322,638227
1930,50,1295061,677528,617533
1930,51,1254791,657170,597621
1930,52,1210584,634451,576133
1930,53,1158516,607175,551341
1930,54,1100655,576506,524149
1930,55,1042234,545420,496814
1930,56,983123,513891,469232
1930,57,929633,485258,444375
1930,58,887636,462646,424990
1930,59,854905,444901,410004
1930,60,823587,427873,395714
1930,61,793172,411281,381891
1930,62,760527,393553,366974
1930,63,722084,372850,349234
1930,64,679137,349859,329278
1930,65,636589,327102,309487
1930,66,594731,304703,290028
1930,67,555171,283674,271497
1930,68,519894,265189,254705
1930,69,488113,248773,239340
1930,70,457195,232867,224328
1930,71,427255,217527,209728
1930,72,396062,201434,194628
1930,73,361419,183295,178124
1930,74,324337,163691,160646
1930,75,1945053,931276,1013777
1931,0,2138681,1087341,1051340
1931,1,2140300,1083155,1057145
1931,2,2225565,1125772,1099793
1931,3,2300649,1180976,1119673
1931,4,2374212,1205680,1168532
1931,5,2444300,1248266,1196034
1931,6,2480998,1261280,1219718
1931,7,2505440,1266910,1238530
1931,8,2480593,1252653,1227940
1931,9,2557405,1289352,1268053
1931,10,2522846,1275649,1247197
1931,11,2463316,1244250,1219066
1931,12,2421068,1222012,1199056
1931,13,2387124,1204150,1182974
1931,14,2365836,1191265,1174571
1931,15,2354622,1182319,1172303
1931,16,2341673,1172452,1169221
1931,17,2325848,1161403,1164445
1931,18,2307372,1148959,1158413
1931,19,2284853,1134309,1150544
1931,20,2258530,1117747,1140783
1931,21,2231227,1100876,1130351
1931,22,2204264,1084248,1120016
1931,23,2173482,1066860,1106622
1931,24,2135900,1048137,1087763
1931,25,2093086,1028535,1064551
1931,26,2050165,1009339,1040826
1931,27,2008335,991005,1017330
1931,28,1968174,973525,994649
1931,29,1930868,957054,973814
1931,30,1896973,941978,954995
1931,31,1863544,927343,936201
1931,32,1827400,911589,915811
1931,33,1802673,901750,900923
1931,34,1800580,903490,897090
1931,35,1815328,913849,901479
1931,36,1831577,924957,906620
1931,37,1849712,936899,912813
1931,38,1852003,940967,911036
1931,39,1821808,928910,892898
1931,40,1765261,903705,861556
1931,41,1705029,876521,828508
1931,42,1643354,848532,794822
1931,43,1586237,822175,764062
1931,44,1541659,800978,740681
1931,45,1507260,783896,723364
1931,46,1471699,765940,705759
1931,47,1433448,746368,687080
1931,48,1394170,726229,667941
1931,49,1353779,705732,648047
1931,50,1312221,684777,627444
1931,51,1270700,663667,607033
1931,52,1230260,642910,587350
1931,53,1186554,620203,566351
1931,54,1136234,593699,542535
1931,55,1081000,564356,516644
1931,56,1025437,534745,490692
1931,57,969449,504841,464608
1931,58,918022,477318,440704
1931,59,875870,454706,421164
1931,60,841186,436064,405122
1931,61,807603,418019,389584
1931,62,774927,400375,374552
1931,63,740343,381767,358576
1931,64,700937,360627,340310
1931,65,657852,337577,320275
1931,66,615103,314720,300383
1931,67,572915,292160,280755
1931,68,532994,270952,262042
1931,69,497324,252269,245055
1931,70,465200,235670,229530
1931,71,434011,219615,214396
1931,72,403826,204124,199702
1931,73,372673,188062,184611
1931,74,338502,170251,168251
1931,75,2038279,974742,1063537
1932,0,2040919,1035926,1004993
1932,1,2101784,1064807,1036977
1932,2,2208897,1114949,1093948
1932,3,2250398,1139961,1110437
1932,4,2301105,1179068,1122037
1932,5,2435190,1243730,1191460
1932,6,2436210,1242711,1193499
1932,7,2472188,1255692,1216496
1932,8,2497622,1262298,1235324
1932,9,2477759,1250378,1227381
1932,10,2544521,1281712,1262809
1932,11,2510332,1267101,1243231
1932,12,2453347,1236510,1216837
1932,13,2410850,1213584,1197266
1932,14,2376177,1194937,1181240
1932,15,2354569,1181933,1172636
1932,16,2343380,1173408,1169972
1932,17,2330480,1164047,1166433
1932,18,2314809,1153548,1161261
1932,19,2296173,1141551,1154622
1932,20,2272673,1126994,1145679
1932,21,2244739,1110247,1134492
1932,22,2215865,1093232,1122633
1932,23,2187348,1076506,1110842
1932,24,2155910,1059304,1096606
1932,25,2119286,1041229,1078057
1932,26,2078713,1022607,1056106
1932,27,2038119,1004380,1033739
1932,28,1998540,986942,1011598
1932,29,1960268,970209,990059
1932,30,1924044,954224,969820
1932,31,1890488,939367,951121
1932,32,1857301,924892,932409
1932,33,1821514,909326,912188
1932,34,1796148,899168,896980
1932,35,1791757,899729,892028
1932,36,1802901,908230,894671
1932,37,1815361,917373,897988
1932,38,1829430,927213,902217
1932,39,1829088,929880,899208
1932,40,1799179,917897,881282
1932,41,1745185,893908,851277
1932,42,1687721,868043,819678
1932,43,1628947,841432,787515
1932,44,1573576,815866,757710
1932,45,1528258,794149,734109
1932,46,1491096,775520,715576
1932,47,1452662,755935,696727
1932,48,1411618,734781,676837
1932,49,1370057,713286,656771
1932,50,1328538,691958,636580
1932,51,1286858,670654,616204
1932,52,1245344,649249,596095
1932,53,1204789,628142,576647
1932,54,1161653,605493,556160
